14:40:50 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=./ultranest_5, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:40:50 [ultranest] [INFO] Sampling 400 live points from prior ...
14:41:28 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
14:41:28 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:41:28 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:41:41 [ultranest] [DEBUG] iteration=112, ncalls=531, regioncalls=5240, ndraw=40, logz=-2042.83, remainder_fraction=100.0000%, Lmin=-2038.71, Lmax=-237.34
14:41:41 [ultranest] [DEBUG] iteration=114, ncalls=533, regioncalls=5320, ndraw=40, logz=-2042.62, remainder_fraction=100.0000%, Lmin=-2038.70, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=116, ncalls=535, regioncalls=5400, ndraw=40, logz=-2042.45, remainder_fraction=100.0000%, Lmin=-2038.69, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=118, ncalls=537, regioncalls=5480, ndraw=40, logz=-2042.30, remainder_fraction=100.0000%, Lmin=-2038.69, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=119, ncalls=540, regioncalls=5600, ndraw=40, logz=-2042.23, remainder_fraction=100.0000%, Lmin=-2038.67, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=120, ncalls=541, regioncalls=5640, ndraw=40, logz=-2042.17, remainder_fraction=100.0000%, Lmin=-2038.66, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=121, ncalls=542, regioncalls=5680, ndraw=40, logz=-2042.11, remainder_fraction=100.0000%, Lmin=-2038.66, Lmax=-237.34
14:41:42 [ultranest] [DEBUG] iteration=123, ncalls=544, regioncalls=5760, ndraw=40, logz=-2042.00, remainder_fraction=100.0000%, Lmin=-2038.63, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=125, ncalls=547, regioncalls=5880, ndraw=40, logz=-2041.90, remainder_fraction=100.0000%, Lmin=-2038.61, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=127, ncalls=549, regioncalls=5960, ndraw=40, logz=-2041.81, remainder_fraction=100.0000%, Lmin=-2038.61, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=129, ncalls=551, regioncalls=6040, ndraw=40, logz=-2041.72, remainder_fraction=100.0000%, Lmin=-2038.60, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=131, ncalls=553, regioncalls=6120, ndraw=40, logz=-2041.64, remainder_fraction=100.0000%, Lmin=-2038.58, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=133, ncalls=555, regioncalls=6200, ndraw=40, logz=-2041.57, remainder_fraction=100.0000%, Lmin=-2038.56, Lmax=-237.34
14:41:43 [ultranest] [DEBUG] iteration=134, ncalls=557, regioncalls=6280, ndraw=40, logz=-2041.53, remainder_fraction=100.0000%, Lmin=-2038.55, Lmax=-237.34
14:41:44 [ultranest] [DEBUG] iteration=136, ncalls=559, regioncalls=6360, ndraw=40, logz=-2041.46, remainder_fraction=100.0000%, Lmin=-2038.54, Lmax=-237.34
14:41:44 [ultranest] [DEBUG] iteration=137, ncalls=561, regioncalls=6440, ndraw=40, logz=-2041.43, remainder_fraction=100.0000%, Lmin=-2038.54, Lmax=-237.34
14:41:44 [ultranest] [DEBUG] iteration=138, ncalls=563, regioncalls=6520, ndraw=40, logz=-2041.40, remainder_fraction=100.0000%, Lmin=-2038.52, Lmax=-237.34
14:41:44 [ultranest] [DEBUG] iteration=140, ncalls=565, regioncalls=6600, ndraw=40, logz=-2041.34, remainder_fraction=100.0000%, Lmin=-2038.49, Lmax=-237.34
14:41:44 [ultranest] [DEBUG] iteration=141, ncalls=568, regioncalls=6720, ndraw=40, logz=-2041.31, remainder_fraction=100.0000%, Lmin=-2038.49, Lmax=-237.34
14:41:45 [ultranest] [DEBUG] iteration=143, ncalls=570, regioncalls=6800, ndraw=40, logz=-2041.25, remainder_fraction=100.0000%, Lmin=-2038.46, Lmax=-237.34
14:41:45 [ultranest] [DEBUG] iteration=144, ncalls=571, regioncalls=6840, ndraw=40, logz=-2041.22, remainder_fraction=100.0000%, Lmin=-2038.45, Lmax=-237.34
14:41:45 [ultranest] [DEBUG] iteration=145, ncalls=572, regioncalls=6880, ndraw=40, logz=-2041.20, remainder_fraction=100.0000%, Lmin=-2038.44, Lmax=-237.34
14:41:45 [ultranest] [DEBUG] iteration=146, ncalls=575, regioncalls=7000, ndraw=40, logz=-2041.17, remainder_fraction=100.0000%, Lmin=-2038.44, Lmax=-237.34
14:41:46 [ultranest] [DEBUG] iteration=148, ncalls=578, regioncalls=7120, ndraw=40, logz=-2041.12, remainder_fraction=100.0000%, Lmin=-2038.43, Lmax=-237.34
14:41:46 [ultranest] [DEBUG] iteration=150, ncalls=581, regioncalls=7240, ndraw=40, logz=-2041.07, remainder_fraction=100.0000%, Lmin=-2038.42, Lmax=-237.34
14:41:46 [ultranest] [DEBUG] iteration=152, ncalls=583, regioncalls=7320, ndraw=40, logz=-2041.02, remainder_fraction=100.0000%, Lmin=-2038.41, Lmax=-237.34
14:41:46 [ultranest] [DEBUG] iteration=153, ncalls=585, regioncalls=7400, ndraw=40, logz=-2041.00, remainder_fraction=100.0000%, Lmin=-2038.41, Lmax=-237.34
14:41:46 [ultranest] [DEBUG] iteration=154, ncalls=587, regioncalls=7480, ndraw=40, logz=-2040.98, remainder_fraction=100.0000%, Lmin=-2038.36, Lmax=-237.34
14:41:47 [ultranest] [DEBUG] iteration=156, ncalls=590, regioncalls=7600, ndraw=40, logz=-2040.93, remainder_fraction=100.0000%, Lmin=-2038.33, Lmax=-237.34
14:41:47 [ultranest] [DEBUG] iteration=157, ncalls=593, regioncalls=7720, ndraw=40, logz=-2040.91, remainder_fraction=100.0000%, Lmin=-2038.32, Lmax=-237.34
14:41:47 [ultranest] [DEBUG] iteration=159, ncalls=596, regioncalls=7840, ndraw=40, logz=-2040.86, remainder_fraction=100.0000%, Lmin=-2038.31, Lmax=-237.34
14:41:47 [ultranest] [DEBUG] iteration=160, ncalls=597, regioncalls=7880, ndraw=40, logz=-2040.84, remainder_fraction=100.0000%, Lmin=-2038.30, Lmax=-237.34
14:41:48 [ultranest] [DEBUG] iteration=161, ncalls=600, regioncalls=8000, ndraw=40, logz=-2040.82, remainder_fraction=100.0000%, Lmin=-2038.30, Lmax=-237.34
14:41:48 [ultranest] [DEBUG] iteration=163, ncalls=603, regioncalls=8120, ndraw=40, logz=-2040.78, remainder_fraction=100.0000%, Lmin=-2038.28, Lmax=-237.34
14:41:48 [ultranest] [DEBUG] iteration=165, ncalls=605, regioncalls=8200, ndraw=40, logz=-2040.74, remainder_fraction=100.0000%, Lmin=-2038.21, Lmax=-237.34
14:41:48 [ultranest] [DEBUG] iteration=167, ncalls=607, regioncalls=8280, ndraw=40, logz=-2040.70, remainder_fraction=100.0000%, Lmin=-2038.19, Lmax=-237.34
14:41:48 [ultranest] [DEBUG] iteration=168, ncalls=609, regioncalls=8360, ndraw=40, logz=-2040.68, remainder_fraction=100.0000%, Lmin=-2038.16, Lmax=-237.34
14:41:49 [ultranest] [DEBUG] iteration=170, ncalls=612, regioncalls=8480, ndraw=40, logz=-2040.64, remainder_fraction=100.0000%, Lmin=-2038.15, Lmax=-237.34
14:41:49 [ultranest] [DEBUG] iteration=171, ncalls=614, regioncalls=8560, ndraw=40, logz=-2040.62, remainder_fraction=100.0000%, Lmin=-2038.14, Lmax=-237.34
14:41:49 [ultranest] [DEBUG] iteration=173, ncalls=616, regioncalls=8640, ndraw=40, logz=-2040.58, remainder_fraction=100.0000%, Lmin=-2038.12, Lmax=-237.34
14:41:49 [ultranest] [DEBUG] iteration=174, ncalls=618, regioncalls=8720, ndraw=40, logz=-2040.56, remainder_fraction=100.0000%, Lmin=-2038.11, Lmax=-237.34
14:41:50 [ultranest] [DEBUG] iteration=176, ncalls=620, regioncalls=8800, ndraw=40, logz=-2040.53, remainder_fraction=100.0000%, Lmin=-2038.10, Lmax=-237.34
14:41:50 [ultranest] [DEBUG] iteration=177, ncalls=621, regioncalls=8840, ndraw=40, logz=-2040.51, remainder_fraction=100.0000%, Lmin=-2038.09, Lmax=-237.34
14:41:50 [ultranest] [DEBUG] iteration=178, ncalls=622, regioncalls=8880, ndraw=40, logz=-2040.49, remainder_fraction=100.0000%, Lmin=-2038.08, Lmax=-237.34
14:41:50 [ultranest] [DEBUG] iteration=179, ncalls=625, regioncalls=9000, ndraw=40, logz=-2040.47, remainder_fraction=100.0000%, Lmin=-2038.08, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=180, ncalls=626, regioncalls=9040, ndraw=40, logz=-2040.45, remainder_fraction=100.0000%, Lmin=-2038.07, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=181, ncalls=627, regioncalls=9080, ndraw=40, logz=-2040.44, remainder_fraction=100.0000%, Lmin=-2038.07, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=182, ncalls=628, regioncalls=9120, ndraw=40, logz=-2040.42, remainder_fraction=100.0000%, Lmin=-2038.05, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=183, ncalls=629, regioncalls=9160, ndraw=40, logz=-2040.40, remainder_fraction=100.0000%, Lmin=-2038.01, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=184, ncalls=630, regioncalls=9200, ndraw=40, logz=-2040.39, remainder_fraction=100.0000%, Lmin=-2038.00, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=186, ncalls=632, regioncalls=9280, ndraw=40, logz=-2040.35, remainder_fraction=100.0000%, Lmin=-2037.99, Lmax=-237.34
14:41:51 [ultranest] [DEBUG] iteration=187, ncalls=633, regioncalls=9320, ndraw=40, logz=-2040.34, remainder_fraction=100.0000%, Lmin=-2037.96, Lmax=-237.34
14:41:52 [ultranest] [DEBUG] iteration=189, ncalls=635, regioncalls=9400, ndraw=40, logz=-2040.30, remainder_fraction=100.0000%, Lmin=-2037.90, Lmax=-237.34
14:41:52 [ultranest] [DEBUG] iteration=190, ncalls=636, regioncalls=9440, ndraw=40, logz=-2040.29, remainder_fraction=100.0000%, Lmin=-2037.89, Lmax=-237.34
14:41:52 [ultranest] [DEBUG] iteration=191, ncalls=638, regioncalls=9520, ndraw=40, logz=-2040.27, remainder_fraction=100.0000%, Lmin=-2037.88, Lmax=-237.34
14:41:52 [ultranest] [DEBUG] iteration=193, ncalls=641, regioncalls=9640, ndraw=40, logz=-2040.24, remainder_fraction=100.0000%, Lmin=-2037.87, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=194, ncalls=643, regioncalls=9720, ndraw=40, logz=-2040.22, remainder_fraction=100.0000%, Lmin=-2037.86, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=195, ncalls=644, regioncalls=9760, ndraw=40, logz=-2040.20, remainder_fraction=100.0000%, Lmin=-2037.86, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=196, ncalls=647, regioncalls=9880, ndraw=40, logz=-2040.19, remainder_fraction=100.0000%, Lmin=-2037.84, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=197, ncalls=648, regioncalls=9920, ndraw=40, logz=-2040.17, remainder_fraction=100.0000%, Lmin=-2037.80, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=199, ncalls=650, regioncalls=10000, ndraw=40, logz=-2040.14, remainder_fraction=100.0000%, Lmin=-2037.75, Lmax=-237.34
14:41:53 [ultranest] [DEBUG] iteration=200, ncalls=651, regioncalls=10040, ndraw=40, logz=-2040.12, remainder_fraction=100.0000%, Lmin=-2037.70, Lmax=-237.34
14:41:54 [ultranest] [DEBUG] iteration=201, ncalls=653, regioncalls=10120, ndraw=40, logz=-2040.11, remainder_fraction=100.0000%, Lmin=-2037.66, Lmax=-237.34
